200 45
1 2 18
1 3 24
1 4 16
1 5 50
1 6 8
1 7 34
1 8 27
1 9 32
1 10 19
1 11 17
1 12 8
1 13 12
1 14 35
1 15 12
1 16 17
1 17 29
1 18 15
1 19 1
1 20 6
1 21 42
1 22 19
1 23 39
1 24 50
1 25 19
1 26 6
1 27 45
1 28 50
1 29 4
1 30 44
1 31 28
1 32 6
1 33 49
1 34 4
1 35 7
1 36 24
1 37 17
1 38 43
1 39 12
1 40 4
1 41 31
1 42 32
1 43 36
1 44 32
1 45 19
1 46 7
1 47 4
1 48 13
1 49 28
1 50 25
1 51 2
1 52 42
1 53 18
1 54 3
1 55 33
1 56 48
1 57 5
1 58 17
1 59 36
1 60 45
1 61 1
1 62 45
1 63 31
1 64 50
1 65 20
1 66 37
1 67 6
1 68 8
1 69 50
1 70 24
1 71 20
1 72 24
1 73 35
1 74 37
1 75 46
1 76 50
1 77 31
1 78 34
1 79 28
1 80 41
1 81 31
1 82 36
1 83 26
1 84 10
1 85 6
1 86 31
1 87 36
1 88 10
1 89 27
1 90 42
1 91 20
1 92 8
1 93 29
1 94 26
1 95 43
1 96 27
1 97 16
1 98 8
1 99 11
1 100 18
1 101 24
1 102 19
1 103 35
1 104 19
1 105 50
1 106 27
1 107 14
1 108 25
1 109 11
1 110 23
1 111 48
1 112 4
1 113 7
1 114 33
1 115 35
1 116 25
1 117 16
1 118 50
1 119 3
1 120 3
1 121 48
1 122 10
1 123 29
1 124 19
1 125 47
1 126 19
1 127 50
1 128 24
1 129 13
1 130 45
1 131 32
1 132 49
1 133 50
1 134 38
1 135 34
1 136 24
1 137 38
1 138 23
1 139 41
1 140 2
1 141 30
1 142 10
1 143 12
1 144 35
1 145 6
1 146 39
1 147 33
1 148 17
1 149 3
1 150 19
1 151 5
1 152 48
1 153 7
1 154 24
1 155 3
1 156 14
1 157 3
1 158 29
1 159 13
1 160 25
1 161 46
1 162 29
1 163 16
1 164 26
1 165 34
1 166 34
1 167 49
1 168 4
1 169 33
1 170 3
1 171 9
1 172 22
1 173 21
1 174 47
1 175 3
1 176 5
1 177 4
1 178 17
1 179 30
1 180 23
1 181 27
1 182 46
1 183 10
1 184 11
1 185 11
1 186 32
1 187 35
1 188 34
1 189 31
1 190 39
1 191 14
1 192 12
1 193 36
1 194 39
1 195 28
1 196 46
1 197 14
1 198 7
1 199 25
1 200 35
2 3 41
2 4 8
2 5 46
2 6 12
2 7 18
2 8 21
2 9 23
2 10 9
2 11 1
2 12 35
2 13 33
2 14 15
2 15 12
2 16 9
2 17 45
2 18 11
2 19 29
2 20 39
2 21 31
2 22 14
2 23 48
2 24 38
2 25 27
2 26 24
2 27 30
2 28 48
2 29 21
2 30 35
2 31 27
2 32 13
2 33 48
2 34 18
2 35 47
2 36 33
2 37 15
2 38 39
2 39 15
2 40 5
2 41 24
2 42 39
2 43 36
2 44 8
2 45 30
2 46 18
2 47 31
2 48 20
2 49 5
2 50 1
2 51 38
2 52 18
2 53 22
2 54 48
2 55 28
2 56 37
2 57 23
2 58 20
2 59 20
2 60 34
2 61 39
2 62 31
2 63 44
2 64 34
2 65 50
2 66 27
2 67 50
2 68 48
2 69 46
2 70 20
2 71 10
2 72 5
2 73 31
2 74 3
2 75 46
2 76 6
2 77 36
2 78 20
2 79 33
2 80 11
2 81 43
2 82 8
2 83 19
2 84 33
2 85 44
2 86 4
2 87 13
2 88 21
2 89 40
2 90 40
2 91 45
2 92 4
2 93 3
2 94 38
2 95 14
2 96 46
2 97 25
2 98 40
2 99 21
2 100 20
2 101 29
2 102 29
2 103 46
2 104 42
2 105 44
2 106 44
2 107 19
2 108 31
2 109 38
2 110 37
2 111 16
2 112 40
2 113 33
2 114 20
2 115 50
2 116 13
2 117 1
2 118 39
2 119 3
2 120 47
2 121 37
2 122 2
2 123 48
2 124 31
2 125 28
2 126 19
2 127 36
2 128 27
2 129 8
2 130 6
2 131 36
2 132 27
2 133 46
2 134 5
2 135 46
2 136 47
2 137 31
2 138 20
2 139 25
2 140 10
2 141 25
2 142 13
2 143 47
2 144 40
2 145 49
2 146 25
2 147 16
2 148 29
2 149 20
2 150 47
2 151 19
2 152 3
2 153 26
2 154 45
2 155 14
2 156 28
2 157 5
2 158 39
2 159 50
2 160 44
2 161 2
2 162 17
2 163 7
2 164 23
2 165 31
2 166 49
2 167 24
2 168 3
2 169 20
2 170 25
2 171 44
2 172 28
2 173 19
2 174 19
2 175 12
2 176 20
2 177 36
2 178 16
2 179 36
2 180 48
2 181 19
2 182 1
2 183 16
2 184 22
2 185 27
2 186 44
2 187 47
2 188 43
2 189 32
2 190 35
2 191 16
2 192 7
2 193 32
2 194 3
2 195 26
2 196 30
2 197 26
2 198 49
2 199 36
2 200 40
3 4 6
3 5 32
3 6 43
3 7 12
3 8 37
3 9 42
3 10 44
3 11 34
3 12 40
3 13 22
3 14 16
3 15 41
3 16 26
3 17 10
3 18 31
3 19 2
3 20 22
3 21 39
3 22 10
3 23 39
3 24 40
3 25 47
3 26 34
3 27 34
3 28 2
3 29 32
3 30 43
3 31 17
3 32 8
3 33 38
3 34 43
3 35 6
3 36 12
3 37 8
3 38 46
3 39 2
3 40 15
3 41 1
3 42 48
3 43 13
3 44 44
3 45 21
3 46 14
3 47 1
3 48 37
3 49 24
3 50 47
3 51 50
3 52 41
3 53 11
3 54 21
3 55 46
3 56 9
3 57 17
3 58 39
3 59 27
3 60 22
3 61 45
3 62 8
3 63 27
3 64 27
3 65 34
3 66 25
3 67 21
3 68 1
3 69 18
3 70 24
3 71 37
3 72 28
3 73 26
3 74 23
3 75 27
3 76 37
3 77 30
3 78 22
3 79 3
3 80 7
3 81 18
3 82 7
3 83 12
3 84 25
3 85 41
3 86 38
3 87 11
3 88 22
3 89 13
3 90 16
3 91 10
3 92 27
3 93 38
3 94 33
3 95 38
3 96 35
3 97 15
3 98 16
3 99 37
3 100 30
3 101 42
3 102 31
3 103 37
3 104 12
3 105 30
3 106 46
3 107 23
3 108 28
3 109 5
3 110 33
3 111 31
3 112 50
3 113 28
3 114 16
3 115 12
3 116 50
3 117 30
3 118 30
3 119 24
3 120 21
3 121 33
3 122 35
3 123 24
3 124 20
3 125 28
3 126 25
3 127 3
3 128 35
3 129 31
3 130 9
3 131 25
3 132 30
3 133 40
3 134 1
3 135 1
3 136 5
3 137 35
3 138 44
3 139 47
3 140 4
3 141 50
3 142 38
3 143 2
3 144 21
3 145 4
3 146 22
3 147 4
3 148 40
3 149 47
3 150 10
3 151 45
3 152 39
3 153 7
3 154 6
3 155 21
3 156 28
3 157 42
3 158 28
3 159 16
3 160 36
3 161 13
3 162 30
3 163 38
3 164 16
3 165 30
3 166 22
3 167 44
3 168 13
3 169 1
3 170 19
3 171 20
3 172 26
3 173 13
3 174 50
3 175 50
3 176 41
3 177 3
3 178 16
3 179 12
3 180 47
3 181 12
3 182 48
3 183 4
3 184 9
3 185 26
3 186 28
3 187 35
3 188 6
3 189 31
3 190 38
3 191 22
3 192 40
3 193 3
3 194 13
3 195 20
3 196 17
3 197 30
3 198 5
3 199 37
3 200 34
4 5 31
4 6 18
4 7 1
4 8 11
4 9 10
4 10 32
4 11 29
4 12 25
4 13 3
4 14 38
4 15 43
4 16 42
4 17 46
4 18 25
4 19 46
4 20 34
4 21 14
4 22 17
4 23 45
4 24 33
4 25 16
4 26 7
4 27 3
4 28 31
4 29 4
4 30 25
4 31 7
4 32 35
4 33 21
4 34 30
4 35 47
4 36 23
4 37 43
4 38 29
4 39 12
4 40 11
4 41 27
4 42 3
4 43 36
4 44 30
4 45 8
4 46 23
4 47 10
4 48 32
4 49 5
4 50 44
4 51 42
4 52 14
4 53 4
4 54 3
4 55 41
4 56 21
4 57 45
4 58 30
4 59 10
4 60 21
4 61 20
4 62 11
4 63 6
4 64 28
4 65 17
4 66 4
4 67 43
4 68 18
4 69 6
4 70 1
4 71 10
4 72 48
4 73 50
4 74 22
4 75 36
4 76 9
4 77 18
4 78 45
4 79 44
4 80 42
4 81 17
4 82 22
4 83 37
4 84 44
4 85 26
4 86 38
4 87 30
4 88 1
4 89 34
4 90 26
4 91 31
4 92 45
4 93 4
4 94 44
4 95 10
4 96 29
4 97 4
4 98 36
4 99 11
4 100 28
4 101 36
4 102 7
4 103 10
4 104 13
4 105 11
4 106 45
4 107 27
4 108 29
4 109 38
4 110 18
4 111 32
4 112 37
4 113 50
4 114 34
4 115 12
4 116 2
4 117 12
4 118 19
4 119 46
4 120 17
4 121 3
4 122 9
4 123 10
4 124 26
4 125 47
4 126 8
4 127 49
4 128 30
4 129 43
4 130 18
4 131 34
4 132 27
4 133 39
4 134 48
4 135 25
4 136 18
4 137 12
4 138 27
4 139 19
4 140 18
4 141 25
4 142 37
4 143 7
4 144 12
4 145 8
4 146 9
4 147 12
4 148 3
4 149 47
4 150 44
4 151 21
4 152 50
4 153 3
4 154 16
4 155 6
4 156 43
4 157 11
4 158 3
4 159 20
4 160 45
4 161 42
4 162 32
4 163 38
4 164 32
4 165 4
4 166 37
4 167 27
4 168 48
4 169 21
4 170 12
4 171 3
4 172 12
4 173 16
4 174 26
4 175 33
4 176 44
4 177 11
4 178 33
4 179 35
4 180 27
4 181 39
4 182 32
4 183 22
4 184 47
4 185 49
4 186 49
4 187 34
4 188 13
4 189 18
4 190 22
4 191 45
4 192 29
4 193 43
4 194 14
4 195 47
4 196 32
4 197 12
4 198 45
4 199 31
4 200 49
5 6 22
5 7 23
5 8 48
5 9 24
5 10 48
5 11 22
5 12 36
5 13 41
5 14 34
5 15 8
5 16 35
5 17 7
5 18 3
5 19 20
5 20 14
5 21 23
5 22 14
5 23 39
5 24 4
5 25 35
5 26 25
5 27 38
5 28 4
5 29 5
5 30 25
5 31 4
5 32 14
5 33 12
5 34 44
5 35 36
5 36 40
5 37 21
5 38 49
5 39 5
5 40 46
5 41 3
5 42 29
5 43 27
5 44 45
5 45 41
5 46 47
5 47 3
5 48 28
5 49 1
5 50 17
5 51 36
5 52 15
5 53 31
5 54 38
5 55 43
5 56 25
5 57 4
5 58 2
5 59 28
5 60 50
5 61 42
5 62 50
5 63 10
5 64 49
5 65 15
5 66 8
5 67 12
5 68 34
5 69 40
5 70 37
5 71 5
5 72 27
5 73 38
5 74 20
